,packed_desig,year,obs
13000032,K13N42N,2008,G96
13000033,K13N42N,2008,G96
13000034,K13N42N,2008,G96
13000035,K13N42N,2008,G96
13000036,K13N42N,2008,G96
13000037,K13N42N,2008,G96
13000038,K13N42N,2008,G96
13000039,K13N42N,2008,G96
13000105,K13N42P,2006,G96
13000106,K13N42P,2006,G96
13000107,K13N42P,2006,G96
13000108,K13N42P,2006,G96
13000109,K13N42P,2009,G96
13000110,K13N42P,2009,G96
13000111,K13N42P,2009,G96
13000112,K13N42P,2009,G96
13001341,K13N43V,2007,G96
13001342,K13N43V,2007,G96
13001343,K13N43V,2007,G96
13001344,K13N43V,2007,G96
13001652,K13N44C,2009,G96
13001653,K13N44C,2009,G96
13001654,K13N44C,2009,G96
13001655,K13N44C,2009,G96
13001910,K13N44J,2007,G96
13001911,K13N44J,2007,G96
13001912,K13N44J,2007,G96
13001913,K13N44J,2007,G96
13001936,K13N44K,2007,G96
13001937,K13N44K,2007,G96
13001938,K13N44K,2007,G96
13001939,K13N44K,2007,G96
13002217,K13N44R,2006,G96
13002218,K13N44R,2006,G96
13002219,K13N44R,2006,G96
13002220,K13N44R,2006,G96
13002268,K13N44S,2009,G96
13002269,K13N44S,2009,G96
13002270,K13N44S,2009,G96
13002271,K13N44S,2009,G96
13002486,K13N44Y,2010,G96
13002487,K13N44Y,2010,G96
13002488,K13N44Y,2010,G96
13002489,K13N44Y,2010,G96
13003044,K13N45J,2008,G96
13003045,K13N45J,2008,G96
13003046,K13N45J,2008,G96
13003047,K13N45J,2008,G96
13003713,K13N46D,2008,G96
13003714,K13N46D,2008,G96
13003715,K13N46D,2008,G96
13003716,K13N46D,2008,G96
13004213,K13N46S,2006,G96
13004214,K13N46S,2006,G96
13004215,K13N46S,2006,G96
13004216,K13N46S,2006,G96
13004268,K13N46T,2010,G96
13004269,K13N46T,2010,G96
13004270,K13N46T,2010,G96
13004271,K13N46T,2010,G96
13004503,K13N46Z,2006,G96
13004504,K13N46Z,2006,G96
13004505,K13N46Z,2006,G96
13004506,K13N46Z,2006,G96
13004549,K13N47A,2008,G96
13004550,K13N47A,2008,G96
13004551,K13N47A,2008,G96
13004552,K13N47A,2008,G96
13004991,K13N47O,2010,G96
13004992,K13N47O,2010,G96
13004993,K13N47O,2010,G96
13004994,K13N47O,2010,G96
13005035,K13N47P,2008,G96
13005036,K13N47P,2008,G96
13005037,K13N47P,2008,G96
13005038,K13N47P,2008,G96
13005109,K13N47T,2006,G96
13005110,K13N47T,2006,G96
13005111,K13N47T,2006,G96
13005112,K13N47T,2006,G96
13005198,K13N47X,2008,G96
13005199,K13N47X,2008,G96
13005200,K13N47X,2008,G96
13005201,K13N47X,2008,G96
13005273,K13N47Y,2008,G96
13005274,K13N47Y,2008,G96
13005275,K13N47Y,2008,G96
13005276,K13N47Y,2008,G96
13005632,K13N48H,2006,G96
13005633,K13N48H,2006,G96
13005634,K13N48H,2006,G96
13005635,K13N48H,2006,G96
13005687,K13N48L,2009,G96
13005688,K13N48L,2009,G96
13005689,K13N48L,2009,G96
13005690,K13N48L,2009,G96
13005830,K13N48Q,2008,G96
13005831,K13N48Q,2008,G96
13005832,K13N48Q,2008,G96
13005833,K13N48Q,2008,G96
13005869,K13N48R,2008,G96
13005870,K13N48R,2008,G96
13005871,K13N48R,2008,G96
13005872,K13N48R,2008,G96
13005894,K13N48S,2011,G96
13005895,K13N48S,2011,G96
13005896,K13N48S,2011,G96
13005897,K13N48S,2011,G96
13006010,K13N48X,2009,G96
13006011,K13N48X,2009,G96
13006012,K13N48X,2009,G96
13006013,K13N48X,2009,G96
13006138,K13N49C,2011,G96
13006139,K13N49C,2011,G96
13006140,K13N49C,2011,G96
13006141,K13N49C,2011,G96
13006215,K13N49D,2009,G96
13006216,K13N49D,2009,G96
13006217,K13N49D,2009,G96
13006218,K13N49D,2009,G96
13006222,K13N49D,2011,G96
13006223,K13N49D,2011,G96
13006224,K13N49D,2011,G96
13006306,K13N49E,2008,G96
13006307,K13N49E,2008,G96
13006308,K13N49E,2008,G96
13006309,K13N49E,2008,G96
13006451,K13N49H,2005,G96
13006452,K13N49H,2005,G96
13006453,K13N49H,2005,G96
13006454,K13N49H,2005,G96
13006503,K13N49J,2005,G96
13006504,K13N49J,2005,G96
13006505,K13N49J,2005,G96
13006506,K13N49J,2005,G96
13006569,K13N49L,2008,G96
13006570,K13N49L,2008,G96
13006571,K13N49L,2008,G96
13006572,K13N49L,2008,G96
13006655,K13N49N,2008,G96
13006656,K13N49N,2008,G96
13006657,K13N49N,2008,G96
13006658,K13N49N,2008,G96
13006690,K13N49O,2008,G96
13006691,K13N49O,2008,G96
13006692,K13N49O,2008,G96
13006693,K13N49O,2008,G96
13006808,K13N49R,2008,G96
13006809,K13N49R,2008,G96
13006810,K13N49R,2008,G96
13006811,K13N49R,2008,G96
13006834,K13N49S,2009,G96
13006835,K13N49S,2009,G96
13006836,K13N49S,2009,G96
13006837,K13N49S,2009,G96
13006903,K13N49T,2009,G96
13006904,K13N49T,2009,G96
13006905,K13N49T,2009,G96
13006906,K13N49T,2009,G96
13006984,K13N49U,2012,G96
13006985,K13N49U,2012,G96
13006986,K13N49U,2012,G96
13006987,K13N49U,2012,G96
13007131,K13N49X,2005,G96
13007132,K13N49X,2005,G96
13007133,K13N49X,2005,G96
13007134,K13N49X,2005,G96
13007203,K13N49Z,2012,G96
13007204,K13N49Z,2012,G96
13007205,K13N49Z,2012,G96
13007268,K13N50A,2008,G96
13007269,K13N50A,2008,G96
13007270,K13N50A,2008,G96
13007271,K13N50A,2008,G96
13007456,K13N50E,2009,G96
13007457,K13N50E,2009,G96
13007458,K13N50E,2009,G96
13007459,K13N50E,2009,G96
13007583,K13N50G,2011,G96
13007584,K13N50G,2011,G96
13007586,K13N50G,2011,G96
13007587,K13N50G,2011,G96
13007681,K13N50H,2005,G96
13007682,K13N50H,2005,G96
13007683,K13N50H,2005,G96
13007684,K13N50H,2005,G96
13007833,K13N50L,2009,G96
13007834,K13N50L,2009,G96
13007835,K13N50L,2009,G96
13007836,K13N50L,2009,G96
13007893,K13N50M,2006,G96
13007894,K13N50M,2006,G96
13007895,K13N50M,2006,G96
13007896,K13N50M,2006,G96
13008094,K13N50R,2009,G96
13008095,K13N50R,2009,G96
13008096,K13N50R,2009,G96
13008097,K13N50R,2009,G96
13008153,K13N50S,2010,G96
13008154,K13N50S,2010,G96
13008155,K13N50S,2010,G96
13008156,K13N50S,2010,G96
13008292,K13N50U,2009,G96
13008293,K13N50U,2009,G96
13008294,K13N50U,2009,G96
13008295,K13N50U,2009,G96
13008351,K13N50V,2008,G96
13008352,K13N50V,2008,G96
13008353,K13N50V,2008,G96
13008354,K13N50V,2008,G96
13008382,K13N50X,2012,G96
13008383,K13N50X,2012,G96
13008384,K13N50X,2012,G96
13008385,K13N50X,2012,G96
13008415,K13N50Y,2010,G96
13008416,K13N50Y,2010,G96
13008417,K13N50Y,2010,G96
13008539,K13N51B,2008,G96
13008540,K13N51B,2008,G96
13008541,K13N51B,2008,G96
13008542,K13N51B,2008,G96
13008594,K13N51C,2009,G96
13008595,K13N51C,2009,G96
13008596,K13N51C,2009,G96
13008638,K13N51E,2008,G96
13008639,K13N51E,2008,G96
13008640,K13N51E,2008,G96
13008641,K13N51E,2008,G96
13008806,K13N51J,2010,G96
13008807,K13N51J,2010,G96
13008808,K13N51J,2010,G96
13008809,K13N51J,2010,G96
13008856,K13N51K,2010,G96
13008857,K13N51K,2010,G96
13008858,K13N51K,2010,G96
13008859,K13N51K,2010,G96
13008975,K13N51M,2010,G96
13008976,K13N51M,2010,G96
13008977,K13N51M,2010,G96
13008978,K13N51M,2010,G96
13009026,K13N51N,2006,G96
13009027,K13N51N,2006,G96
13009028,K13N51N,2006,G96
13009029,K13N51N,2006,G96
13009240,K13N51R,2010,G96
13009241,K13N51R,2010,G96
13009242,K13N51R,2010,G96
13009243,K13N51R,2010,G96
13009349,K13N51T,2009,G96
13009350,K13N51T,2009,G96
13009351,K13N51T,2009,G96
13009352,K13N51T,2009,G96
13009441,K13N51U,2010,G96
13009442,K13N51U,2010,G96
13009443,K13N51U,2010,G96
13009444,K13N51U,2010,G96
13009559,K13N51X,2011,G96
13009560,K13N51X,2011,G96
13009561,K13N51X,2011,G96
13009562,K13N51X,2011,G96
13009684,K13N51Y,2010,G96
13009685,K13N51Y,2010,G96
13009686,K13N51Y,2010,G96
13009687,K13N51Y,2010,G96
13009761,K13N52A,2010,G96
13009762,K13N52A,2010,G96
13009763,K13N52A,2010,G96
13009764,K13N52A,2010,G96
13009859,K13N52C,2010,G96
13009860,K13N52C,2010,G96
13009861,K13N52C,2010,G96
13009862,K13N52C,2010,G96
13009928,K13N52E,2008,G96
13009929,K13N52E,2008,G96
13009930,K13N52E,2008,G96
13009931,K13N52E,2008,G96
13010031,K13N52G,2008,G96
13010032,K13N52G,2008,G96
13010033,K13N52G,2008,G96
13010034,K13N52G,2008,G96
13010242,K13N52N,2011,G96
13010243,K13N52N,2011,G96
13010244,K13N52N,2011,G96
13010245,K13N52N,2011,G96
13010600,K13N52T,2010,G96
13010601,K13N52T,2010,G96
13010602,K13N52T,2010,G96
13010603,K13N52T,2010,G96
13010655,K13N52U,2010,G96
13010656,K13N52U,2010,G96
13010657,K13N52U,2010,G96
13010658,K13N52U,2010,G96
13011103,K13N53C,2006,G96
13011104,K13N53C,2006,G96
13011105,K13N53C,2006,G96
13011106,K13N53C,2006,G96
13011152,K13N53D,2010,G96
13011153,K13N53D,2010,G96
13011154,K13N53D,2010,G96
13011155,K13N53D,2010,G96
13011345,K13N53K,2009,G96
13011346,K13N53K,2009,G96
13011347,K13N53K,2009,G96
13011348,K13N53K,2009,G96
13011439,K13N53M,2006,G96
13011440,K13N53M,2006,G96
13011441,K13N53M,2006,G96
13011442,K13N53M,2006,G96
13011534,K13N53O,2007,G96
13011535,K13N53O,2007,G96
13011536,K13N53O,2007,G96
13011537,K13N53O,2007,G96
13011694,K13N53R,2011,G96
13011695,K13N53R,2011,G96
13011696,K13N53R,2011,G96
13011734,K13N53S,2009,G96
13011735,K13N53S,2009,G96
13011736,K13N53S,2009,G96
13011978,K13N54A,2012,G96
13011979,K13N54A,2012,G96
13011980,K13N54A,2012,G96
13011981,K13N54A,2012,G96
13012264,K13N54H,2009,G96
13012265,K13N54H,2009,G96
13012266,K13N54H,2009,G96
13012267,K13N54H,2009,G96
13012394,K13N54K,2008,G96
13012395,K13N54K,2008,G96
13012396,K13N54K,2008,G96
13012397,K13N54K,2008,G96
13012872,K13N54Q,2009,703
13012873,K13N54Q,2009,703
13012874,K13N54Q,2009,703
13012875,K13N54Q,2009,703
13012900,K13N54R,2007,G96
13012901,K13N54R,2007,G96
13012902,K13N54R,2007,G96
13012903,K13N54R,2007,G96
13012904,K13N54R,2007,G96
13012905,K13N54R,2007,G96
13012906,K13N54R,2007,G96
13012907,K13N54R,2007,G96
13012908,K13N54R,2007,G96
13012909,K13N54R,2007,G96
13012910,K13N54R,2007,G96
13012911,K13N54R,2007,G96
13013071,K13N54W,2008,G96
13013072,K13N54W,2008,G96
13013073,K13N54W,2008,G96
13013074,K13N54W,2008,G96
13013300,K13N54Z,2010,G96
13013301,K13N54Z,2010,G96
13013302,K13N54Z,2010,G96
13013303,K13N54Z,2010,G96
13013402,K13N55C,2011,G96
13013403,K13N55C,2011,G96
13013404,K13N55C,2011,G96
13013405,K13N55C,2011,G96
13013744,K13N55L,2005,G96
13013745,K13N55L,2005,G96
13013746,K13N55L,2005,G96
13013747,K13N55L,2005,G96
13013786,K13N55M,2008,G96
13013787,K13N55M,2008,G96
13013788,K13N55M,2008,G96
13013789,K13N55M,2008,G96
13013820,K13N55N,2010,G96
13013821,K13N55N,2010,G96
13013822,K13N55N,2010,G96
13013823,K13N55N,2010,G96
13013960,K13N55Q,2011,G96
13013961,K13N55Q,2011,G96
13013962,K13N55Q,2011,G96
13013963,K13N55Q,2011,G96
13014036,K13N55R,2009,G96
13014037,K13N55R,2009,G96
13014038,K13N55R,2009,G96
13014039,K13N55R,2009,G96
13014040,K13N55R,2011,G96
13014041,K13N55R,2011,G96
13014042,K13N55R,2011,G96
13014043,K13N55R,2011,G96
13014048,K13N55R,2012,G96
13014049,K13N55R,2012,G96
13014050,K13N55R,2012,G96
13014140,K13N55T,2008,G96
13014141,K13N55T,2008,G96
13014142,K13N55T,2008,G96
13014143,K13N55T,2008,G96
13014182,K13N55U,2012,G96
13014183,K13N55U,2012,G96
13014184,K13N55U,2012,G96
13014185,K13N55U,2012,G96
13014396,K13N56A,2010,G96
13014397,K13N56A,2010,G96
13014398,K13N56A,2010,G96
13014399,K13N56A,2010,G96
13014564,K13N56D,2010,G96
13014565,K13N56D,2010,G96
13014566,K13N56D,2010,G96
13014567,K13N56D,2010,G96
13014598,K13N56E,2012,G96
13014599,K13N56E,2012,G96
13014600,K13N56E,2012,G96
13014601,K13N56E,2012,G96
13014689,K13N56H,2007,G96
13014690,K13N56H,2007,G96
13014691,K13N56H,2007,G96
13014692,K13N56H,2007,G96
13015005,K13N56S,2011,G96
13015006,K13N56S,2011,G96
13015007,K13N56S,2011,G96
13015008,K13N56S,2011,G96
13015105,K13N56T,2006,G96
13015106,K13N56T,2006,G96
13015107,K13N56T,2006,G96
13015108,K13N56T,2006,G96
13015176,K13N56U,2008,G96
13015177,K13N56U,2008,G96
13015178,K13N56U,2008,G96
13015179,K13N56U,2008,G96
13015238,K13N56W,2009,G96
13015239,K13N56W,2009,G96
13015240,K13N56W,2009,G96
13015241,K13N56W,2009,G96
13015242,K13N56W,2009,G96
13015344,K13N56Y,2010,G96
13015345,K13N56Y,2010,G96
13015346,K13N56Y,2010,G96
13015347,K13N56Y,2010,G96
13015416,K13N57A,2012,G96
13015417,K13N57A,2012,G96
13015418,K13N57A,2012,G96
13015419,K13N57A,2012,G96
13015864,K13N57P,2011,G96
13015865,K13N57P,2011,G96
13015866,K13N57P,2011,G96
13015867,K13N57P,2011,G96
13016007,K13N57S,2008,G96
13016008,K13N57S,2008,G96
13016009,K13N57S,2008,G96
13016010,K13N57S,2008,G96
13016011,K13N57S,2012,G96
13016012,K13N57S,2012,G96
13016013,K13N57S,2012,G96
13016014,K13N57S,2012,G96
13016086,K13N57T,2010,G96
13016087,K13N57T,2010,G96
13016088,K13N57T,2010,G96
13016205,K13N57W,2010,G96
13016206,K13N57W,2010,G96
13016207,K13N57W,2010,G96
13016208,K13N57W,2010,G96
13016340,K13N57Y,2008,G96
13016341,K13N57Y,2008,G96
13016342,K13N57Y,2008,G96
13016343,K13N57Y,2008,G96
13016578,K13N58B,2012,G96
13016579,K13N58B,2012,G96
13016580,K13N58B,2012,G96
13016581,K13N58B,2012,G96
13016622,K13N58D,2007,G96
13016623,K13N58D,2007,G96
13016624,K13N58D,2007,G96
13016625,K13N58D,2007,G96
13016680,K13N58E,2011,G96
13016681,K13N58E,2011,G96
13016682,K13N58E,2011,G96
13016683,K13N58E,2011,G96
13016963,K13N58L,2011,G96
13016964,K13N58L,2011,G96
13016965,K13N58L,2011,G96
13016966,K13N58L,2011,G96
13017036,K13N58M,2012,G96
13017037,K13N58M,2012,G96
13017038,K13N58M,2012,G96
13017039,K13N58M,2012,G96
13017067,K13N58N,2012,G96
13017068,K13N58N,2012,G96
13017069,K13N58N,2012,G96
13017070,K13N58N,2012,G96
13017418,K13N58W,2009,G96
13017419,K13N58W,2009,G96
13017420,K13N58W,2009,G96
13017421,K13N58W,2009,G96
13017655,K13N59A,2009,G96
13017656,K13N59A,2009,G96
13017657,K13N59A,2009,G96
13017658,K13N59A,2009,G96
13017659,K13N59A,2012,G96
13017660,K13N59A,2012,G96
13017661,K13N59A,2012,G96
13017662,K13N59A,2012,G96
13017859,K13N59J,2009,G96
13017860,K13N59J,2009,G96
13017861,K13N59J,2009,G96
13017862,K13N59J,2009,G96
13017915,K13N59N,2011,G96
13017916,K13N59N,2011,G96
13017917,K13N59N,2011,G96
13017918,K13N59N,2011,G96
13018033,K13N59P,2012,G96
13018034,K13N59P,2012,G96
13018035,K13N59P,2012,G96
13018036,K13N59P,2012,G96
13018098,K13N59Q,2010,G96
13018099,K13N59Q,2010,G96
13018100,K13N59Q,2010,G96
13018101,K13N59Q,2010,G96
13018143,K13N59U,2010,G96
13018144,K13N59U,2010,G96
13018145,K13N59U,2010,G96
13018146,K13N59U,2010,G96
13018181,K13N59W,2009,703
13018182,K13N59W,2009,703
13018183,K13N59W,2009,703
13018184,K13N59W,2009,703
13018274,K13N59X,2009,G96
13018275,K13N59X,2009,G96
13018276,K13N59X,2009,G96
13018277,K13N59X,2009,G96
13018320,K13N59Y,2012,G96
13018321,K13N59Y,2012,G96
13018322,K13N59Y,2012,G96
13018323,K13N59Y,2012,G96
13018398,K13N60A,2009,G96
13018399,K13N60A,2009,G96
13018400,K13N60A,2009,G96
13018401,K13N60A,2009,G96
13018454,K13N60B,2012,G96
13018455,K13N60B,2012,G96
13018456,K13N60B,2012,G96
13018457,K13N60B,2012,G96
13018938,K13N60P,2009,G96
13018939,K13N60P,2009,G96
13018940,K13N60P,2009,G96
13018941,K13N60P,2009,G96
13019149,K13N60W,2010,G96
13019150,K13N60W,2010,G96
13019151,K13N60W,2010,G96
13019152,K13N60W,2010,G96
13019212,K13N60Y,2011,G96
13019213,K13N60Y,2011,G96
13019214,K13N60Y,2011,G96
13019215,K13N60Y,2011,G96
13019292,K13N61A,2008,G96
13019293,K13N61A,2008,G96
13019294,K13N61A,2008,G96
13019295,K13N61A,2008,G96
13019450,K13N61E,2011,G96
13019451,K13N61E,2011,G96
13019452,K13N61E,2011,G96
13019453,K13N61E,2011,G96
13019668,K13N61L,2006,G96
13019669,K13N61L,2006,G96
13019670,K13N61L,2006,G96
13019671,K13N61L,2006,G96
13019675,K13N61L,2011,G96
13019676,K13N61L,2011,G96
13019677,K13N61L,2011,G96
13019678,K13N61L,2011,G96
13019746,K13N61M,2009,G96
13019747,K13N61M,2009,G96
13019748,K13N61M,2009,G96
13019749,K13N61M,2009,G96
13019771,K13N61N,2011,G96
13019772,K13N61N,2011,G96
13019773,K13N61N,2011,G96
13019774,K13N61N,2011,G96
13019896,K13N61Q,2007,G96
13019897,K13N61Q,2007,G96
13019898,K13N61Q,2007,G96
13019899,K13N61Q,2007,G96
13019900,K13N61Q,2009,703
13019901,K13N61Q,2009,703
13019902,K13N61Q,2009,703
13019903,K13N61Q,2011,G96
13019904,K13N61Q,2011,G96
13019905,K13N61Q,2011,G96
13019906,K13N61Q,2011,G96
13020192,K13N61Z,2007,G96
13020193,K13N61Z,2007,G96
13020194,K13N61Z,2007,G96
13020195,K13N61Z,2007,G96
13020270,K13N62C,2009,G96
13020271,K13N62C,2009,G96
13020272,K13N62C,2009,G96
13020273,K13N62C,2009,G96
13020299,K13N62D,2009,G96
13020300,K13N62D,2009,G96
13020301,K13N62D,2009,G96
13020302,K13N62D,2009,G96
13020394,K13N62G,2009,703
13020395,K13N62G,2009,703
13020396,K13N62G,2009,703
13020397,K13N62G,2009,703
13020603,K13N62O,2011,G96
13020604,K13N62O,2011,G96
13020605,K13N62O,2011,G96
13020606,K13N62O,2011,G96
13020660,K13N62P,2006,G96
13020661,K13N62P,2006,G96
13020662,K13N62P,2006,G96
13020663,K13N62P,2006,G96
13020664,K13N62P,2007,G96
13020665,K13N62P,2007,G96
13020666,K13N62P,2007,G96
13020667,K13N62P,2007,G96
13020763,K13N62R,2011,G96
13020764,K13N62R,2011,G96
13020765,K13N62R,2011,G96
13020766,K13N62R,2011,G96
13021136,K13N62Z,2012,G96
13021137,K13N62Z,2012,G96
13021138,K13N62Z,2012,G96
13021139,K13N62Z,2012,G96
13021276,K13N63C,2009,G96
13021277,K13N63C,2009,G96
13021278,K13N63C,2009,G96
13021279,K13N63C,2009,G96
13021280,K13N63C,2011,G96
13021281,K13N63C,2011,G96
13021282,K13N63C,2011,G96
13021283,K13N63C,2011,G96
13021362,K13N63D,2009,G96
13021363,K13N63D,2009,G96
13021364,K13N63D,2009,G96
13021365,K13N63D,2009,G96
13021657,K13N63K,2005,G96
13021658,K13N63K,2005,G96
13021659,K13N63K,2005,G96
13021660,K13N63K,2005,G96
13021728,K13N63L,2012,G96
13021729,K13N63L,2012,G96
13021730,K13N63L,2012,G96
13021731,K13N63L,2012,G96
13021796,K13N63N,2007,G96
13021797,K13N63N,2007,G96
13021798,K13N63N,2007,G96
13021799,K13N63N,2007,G96
13022052,K13N63S,2012,G96
13022053,K13N63S,2012,G96
13022054,K13N63S,2012,G96
13022084,K13N63T,2009,G96
13022085,K13N63T,2009,G96
13022086,K13N63T,2009,G96
13022464,K13N64D,2008,G96
13022465,K13N64D,2008,G96
13022466,K13N64D,2008,G96
13022467,K13N64D,2008,G96
13022565,K13N64H,2011,G96
13022566,K13N64H,2011,G96
13022567,K13N64H,2011,G96
13022568,K13N64H,2011,G96
13022635,K13N64K,2009,G96
13022636,K13N64K,2009,G96
13022637,K13N64K,2009,G96
13022638,K13N64K,2009,G96
13023084,K13N64W,2009,G96
13023085,K13N64W,2009,G96
13023086,K13N64W,2009,G96
13023087,K13N64W,2009,G96
13023144,K13N64X,2009,G96
13023145,K13N64X,2009,G96
13023146,K13N64X,2009,G96
13023147,K13N64X,2009,G96
13023202,K13N65A,2008,G96
13023203,K13N65A,2008,G96
13023204,K13N65A,2008,G96
13023205,K13N65A,2008,G96
13023206,K13N65A,2010,G96
13023207,K13N65A,2010,G96
13023208,K13N65A,2010,G96
13023209,K13N65A,2010,G96
13023210,K13N65A,2010,G96
13023352,K13N65E,2010,G96
13023353,K13N65E,2010,G96
13023354,K13N65E,2010,G96
13023355,K13N65E,2010,G96
13023446,K13N65H,2009,G96
13023447,K13N65H,2009,G96
13023448,K13N65H,2009,G96
13023449,K13N65H,2009,G96
13023551,K13N65M,2009,703
13023552,K13N65M,2009,703
13023553,K13N65M,2009,703
13023554,K13N65M,2009,703
13023829,K13N65V,2009,G96
13023830,K13N65V,2009,G96
13023831,K13N65V,2009,G96
13023832,K13N65V,2009,G96
13023876,K13N65X,2011,G96
13023877,K13N65X,2011,G96
13023878,K13N65X,2011,G96
13023879,K13N65X,2011,G96
13024361,K13N66J,2009,G96
13024362,K13N66J,2009,G96
13024363,K13N66J,2009,G96
13024364,K13N66J,2009,G96
13024579,K13N66P,2009,703
13024580,K13N66P,2009,703
13024581,K13N66P,2009,703
13024582,K13N66P,2009,703
13024602,K13N66Q,2006,G96
13024603,K13N66Q,2006,G96
13024604,K13N66Q,2006,G96
13024605,K13N66Q,2006,G96
13024609,K13N66Q,2011,G96
13024610,K13N66Q,2011,G96
13024611,K13N66Q,2011,G96
13024612,K13N66Q,2011,G96
13024613,K13N66Q,2012,G96
13024614,K13N66Q,2012,G96
13024615,K13N66Q,2012,G96
13024616,K13N66Q,2012,G96
13024617,K13N66Q,2012,G96
13024618,K13N66Q,2012,G96
13024619,K13N66Q,2012,G96
13024620,K13N66Q,2012,G96
13024797,K13N66V,2009,G96
13024798,K13N66V,2009,G96
13024799,K13N66V,2009,G96
13024800,K13N66V,2009,G96
13024941,K13N66Z,2010,G96
13024942,K13N66Z,2010,G96
13024943,K13N66Z,2010,G96
13024944,K13N66Z,2010,G96
13025231,K13N67J,2010,G96
13025232,K13N67J,2010,G96
13025233,K13N67J,2010,G96
13025234,K13N67J,2010,G96
13025641,K13N67X,2009,G96
13025642,K13N67X,2009,G96
13025643,K13N67X,2009,G96
13025644,K13N67X,2009,G96
13025693,K13N67Z,2005,G96
13025694,K13N67Z,2005,G96
13025695,K13N67Z,2005,G96
13025696,K13N67Z,2005,G96
13025697,K13N67Z,2005,G96
13025698,K13N67Z,2005,G96
13025699,K13N67Z,2005,G96
13025700,K13N67Z,2005,G96
13025905,K13N68G,2010,G96
13025906,K13N68G,2010,G96
13025907,K13N68G,2010,G96
13025908,K13N68G,2010,G96
13025955,K13N68J,2010,G96
13025956,K13N68J,2010,G96
13025957,K13N68J,2010,G96
13025958,K13N68J,2010,G96
13026052,K13N68O,2009,G96
13026053,K13N68O,2009,G96
13026054,K13N68O,2009,G96
13026055,K13N68O,2009,G96
13026133,K13N68R,2011,G96
13026134,K13N68R,2011,G96
13026135,K13N68R,2011,G96
13026136,K13N68R,2011,G96
13026137,K13N68R,2012,G96
13026138,K13N68R,2012,G96
13026139,K13N68R,2012,G96
13026140,K13N68R,2012,G96
13026266,K13N68U,2009,G96
13026267,K13N68U,2009,G96
13026268,K13N68U,2009,G96
13026269,K13N68U,2009,G96
13026270,K13N68U,2009,G96
13026271,K13N68U,2009,G96
13026272,K13N68U,2009,G96
13026273,K13N68U,2009,G96
13026475,K13N68Y,2012,G96
13026476,K13N68Y,2012,G96
13026477,K13N68Y,2012,G96
13026478,K13N68Y,2012,G96
13026744,K13N69F,2011,G96
13026745,K13N69F,2011,G96
13026746,K13N69F,2011,G96
13026747,K13N69F,2011,G96
13026849,K13N69H,2009,G96
13026850,K13N69H,2009,G96
13026851,K13N69H,2009,G96
13026852,K13N69H,2009,G96
13027046,K13N69O,2011,G96
13027047,K13N69O,2011,G96
13027048,K13N69O,2011,G96
13027049,K13N69O,2011,G96
13027050,K13N69O,2011,G96
13027051,K13N69O,2011,G96
13027052,K13N69O,2011,G96
13027053,K13N69O,2011,G96
13027104,K13N69P,2009,G96
13027105,K13N69P,2009,G96
13027106,K13N69P,2009,G96
13027107,K13N69P,2009,G96
13027148,K13N69Q,2009,G96
13027149,K13N69Q,2009,G96
13027150,K13N69Q,2009,G96
13027151,K13N69Q,2009,G96
13027152,K13N69Q,2009,G96
13027153,K13N69Q,2009,G96
13027154,K13N69Q,2009,G96
13027155,K13N69Q,2009,G96
13027643,K13N70D,2009,G96
13027644,K13N70D,2009,G96
13027645,K13N70D,2009,G96
13027646,K13N70D,2009,G96
13027853,K13N70H,2005,G96
13027854,K13N70H,2005,G96
13027855,K13N70H,2005,G96
13027856,K13N70H,2005,G96
13027857,K13N70H,2008,G96
13027858,K13N70H,2008,G96
13027859,K13N70H,2008,G96
13027860,K13N70H,2008,G96
13028380,K13N70W,2012,G96
13028381,K13N70W,2012,G96
13028382,K13N70W,2012,G96
13028383,K13N70W,2012,G96
13028984,K13N71P,2011,G96
13028985,K13N71P,2011,G96
13028986,K13N71P,2011,G96
13028987,K13N71P,2011,G96
13029035,K13N71Q,2008,G96
13029036,K13N71Q,2008,G96
13029037,K13N71Q,2008,G96
13029038,K13N71Q,2008,G96
13029179,K13N71T,2009,G96
13029180,K13N71T,2009,G96
13029181,K13N71T,2009,G96
13029182,K13N71T,2009,G96
13029183,K13N71T,2009,G96
13029184,K13N71T,2009,G96
13029185,K13N71T,2009,G96
13029186,K13N71T,2009,G96
13029484,K13N71Z,2009,G96
13029485,K13N71Z,2009,G96
13029486,K13N71Z,2009,G96
13029487,K13N71Z,2009,G96
13029547,K13N72B,2009,G96
13029548,K13N72B,2009,G96
13029549,K13N72B,2009,G96
13029550,K13N72B,2009,G96
13029551,K13N72B,2011,G96
13029552,K13N72B,2011,G96
13029553,K13N72B,2011,G96
13029554,K13N72B,2011,G96
13029710,K13N72E,2011,G96
13029711,K13N72E,2011,G96
13029712,K13N72E,2011,G96
13029713,K13N72E,2011,G96
13029714,K13N72E,2011,G96
13029715,K13N72E,2011,G96
13029716,K13N72E,2011,G96
13029717,K13N72E,2011,G96
13029806,K13N72G,2009,G96
13029807,K13N72G,2009,G96
13029808,K13N72G,2009,G96
13029809,K13N72G,2009,G96
13030247,K13N72W,2009,G96
13030248,K13N72W,2009,G96
13030249,K13N72W,2009,G96
13030250,K13N72W,2009,G96
13030377,K13N73A,2008,G96
13030378,K13N73A,2008,G96
13030379,K13N73A,2008,G96
13030380,K13N73A,2008,G96
