,packed_desig,year,obs
16000079,K14QR3Y,C2009,~4NqIG96
16000080,K14QR3Y,C2009,~4NqIG96
16000081,K14QR3Y,C2009,~4NqIG96
16000082,K14QR3Y,C2009,~4NqIG96
16000083,K14QR3Y,C2009,~4NqIG96
16000084,K14QR3Y,C2009,~4NqIG96
16000085,K14QR3Y,C2009,~4NqIG96
16000086,K14QR3Y,C2009,~4NqIG96
16000193,K14QR4A,C2010,~3zwPG96
16000194,K14QR4A,C2010,~3zwPG96
16000195,K14QR4A,C2010,~3zwPG96
16000196,K14QR4A,C2010,~3zwPG96
16000480,K14QR4L,C2011,~3FOcG96
16000481,K14QR4L,C2011,~3FOcG96
16000482,K14QR4L,C2011,~3FOcG96
16000483,K14QR4L,C2011,~3FOcG96
16000856,K14QR4V,C2012,~3FOcG96
16000857,K14QR4V,C2012,~3FOcG96
16000858,K14QR4V,C2012,~3FOcG96
16001417,K14QR5M,C2009,~1B0KG96
16001418,K14QR5M,C2009,~1B0KG96
16001419,K14QR5M,C2009,~1B0KG96
16001420,K14QR5M,C2009,~1B0KG96
16001421,K14QR5M,C2009,~1B0KG96
16001422,K14QR5M,C2009,~1B0KG96
16001423,K14QR5M,C2009,~1B0KG96
16001424,K14QR5M,C2009,~1B0KG96
16001510,K14QR5O,C2012,~2HPBG96
16001511,K14QR5O,C2012,~2HPBG96
16001512,K14QR5O,C2012,~2HPBG96
16001513,K14QR5O,C2012,~2HPBG96
16001598,K14QR5R,C2008,~2cl9G96
16001599,K14QR5R,C2008,~2cl9G96
16001600,K14QR5R,C2008,~2cl9G96
16001601,K14QR5R,C2008,~2cl9G96
16001602,K14QR5R,C2011,~2cl9G96
16001603,K14QR5R,C2011,~2cl9G96
16001604,K14QR5R,C2011,~2cl9G96
16001605,K14QR5R,C2011,~2cl9G96
16001847,K14QR5V,C2011,~1B0KG96
16001848,K14QR5V,C2011,~1B0KG96
16001849,K14QR5V,C2011,~1B0KG96
16001850,K14QR5V,C2011,~1B0KG96
16001851,K14QR5V,C2011,~1B0KG96
16001852,K14QR5V,C2011,~1B0KG96
16001853,K14QR5V,C2011,~1B0KG96
16001854,K14QR5V,C2011,~1B0KG96
16001855,K14QR5V,C2011,~1B0KG96
16001856,K14QR5V,C2011,~1B0KG96
16001857,K14QR5V,C2011,~1B0KG96
16001858,K14QR5V,C2011,~1B0KG96
16002088,K14QR6H,C2011,~4qP1G96
16002089,K14QR6H,C2011,~4qP1G96
16002090,K14QR6H,C2011,~4qP1G96
16002091,K14QR6H,C2011,~4qP1G96
16002181,K14QR6K,C2010,~3QxDG96
16002182,K14QR6K,C2010,~3QxDG96
16002183,K14QR6K,C2010,~3QxDG96
16002184,K14QR6K,C2010,~3QxDG96
16002307,K14QR6L,C2007,~3I37G96
16002308,K14QR6L,C2007,~3I37G96
16002309,K14QR6L,C2007,~3I37G96
16002310,K14QR6L,C2007,~3I37G96
16002507,K14QR6O,C2012,~3jSNG96
16002508,K14QR6O,C2012,~3jSNG96
16002509,K14QR6O,C2012,~3jSNG96
16002510,K14QR6O,C2012,~3jSNG96
16002612,K14QR6Y,C2007,~3I37G96
16002613,K14QR6Y,C2007,~3I37G96
16002614,K14QR6Y,C2007,~3I37G96
16002615,K14QR6Y,C2007,~3I37G96
16002616,K14QR6Y,C2010,~3I37G96
16002617,K14QR6Y,C2010,~3I37G96
16002618,K14QR6Y,C2010,~3I37G96
16002619,K14QR6Y,C2010,~3I37G96
16002680,K14QR7D,C2006,~3zwPG96
16002681,K14QR7D,C2006,~3zwPG96
16002682,K14QR7D,C2006,~3zwPG96
16002683,K14QR7D,C2006,~3zwPG96
16002684,K14QR7D,C2006,~3zwPG96
16002685,K14QR7D,C2006,~3zwPG96
16002686,K14QR7D,C2006,~3zwPG96
16002687,K14QR7D,C2006,~3zwPG96
16002688,K14QR7D,C2010,~3zwPG96
16002689,K14QR7D,C2010,~3zwPG96
16002690,K14QR7D,C2010,~3zwPG96
16002691,K14QR7D,C2010,~3zwPG96
16002753,K14QR7F,C2010,~199bG96
16002754,K14QR7F,C2010,~199bG96
16002755,K14QR7F,C2010,~199bG96
16002756,K14QR7F,C2010,~199bG96
16002757,K14QR7F,C2012,~199bG96
16002758,K14QR7F,C2012,~199bG96
16002759,K14QR7F,C2012,~199bG96
16002760,K14QR7F,C2012,~199bG96
16002866,K14QR7H,C2009,~5abCG96
16002867,K14QR7H,C2009,~5abCG96
16002868,K14QR7H,C2009,~5abCG96
16002869,K14QR7H,C2009,~5abCG96
16002889,K14QR7J,C2009,~1FmKG96
16002890,K14QR7J,C2009,~1FmKG96
16002891,K14QR7J,C2009,~1FmKG96
16002892,K14QR7J,C2009,~1FmKG96
16003020,K14QR7V,C2010,~3CnMG96
16003021,K14QR7V,C2010,~3CnMG96
16003022,K14QR7V,C2010,~3CnMG96
16003023,K14QR7V,C2010,~3CnMG96
16003161,K14QR8B,C2007,~3O8JG96
16003162,K14QR8B,C2007,~3O8JG96
16003163,K14QR8B,C2007,~3O8JG96
16003164,K14QR8B,C2007,~3O8JG96
16003247,K14QR8C,C2007,~4uvvG96
16003248,K14QR8C,C2007,~4uvvG96
16003249,K14QR8C,C2007,~4uvvG96
16003250,K14QR8C,C2007,~4uvvG96
16003320,K14QR8K,C2012,~3O8JG96
16003321,K14QR8K,C2012,~3O8JG96
16003322,K14QR8K,C2012,~3O8JG96
16003323,K14QR8K,C2012,~3O8JG96
16003416,K14QR8M,C2009,~4YFGG96
16003417,K14QR8M,C2009,~4YFGG96
16003418,K14QR8M,C2009,~4YFGG96
16003419,K14QR8M,C2009,~4YFGG96
16003461,K14QR8O,C2011,~3I37G96
16003462,K14QR8O,C2011,~3I37G96
16003463,K14QR8O,C2011,~3I37G96
16003464,K14QR8O,C2011,~3I37G96
16003465,K14QR8O,C2011,~3I37G96
16003466,K14QR8O,C2011,~3I37G96
16003467,K14QR8O,C2011,~3I37G96
16003468,K14QR8O,C2011,~3I37G96
16003469,K14QR8O,C2011,~3I37G96
16003470,K14QR8O,C2011,~3I37G96
16003471,K14QR8O,C2011,~3I37G96
16003472,K14QR8O,C2011,~3I37G96
16003562,K14QR8T,C2007,~7ugXG96
16003563,K14QR8T,C2007,~7ugXG96
16003564,K14QR8T,C2007,~7ugXG96
16003565,K14QR8T,C2007,~7ugXG96
16003593,K14QR8V,C2007,~4uvv703
16003594,K14QR8V,C2007,~4uvv703
16003595,K14QR8V,C2007,~4uvv703
16003596,K14QR8V,C2007,~4uvv703
16003597,K14QR8V,C2007,~4uvvG96
16003598,K14QR8V,C2007,~4uvvG96
16003599,K14QR8V,C2007,~4uvvG96
16003600,K14QR8V,C2007,~4uvvG96
16003686,K14QR8Z,C2010,~7B40G96
16003687,K14QR8Z,C2010,~7B40G96
16003688,K14QR8Z,C2010,~7B40G96
16003689,K14QR8Z,C2010,~7B40G96
16003818,K14QR9B,C2011,~3aHAG96
16003819,K14QR9B,C2011,~3aHAG96
16003820,K14QR9B,C2011,~3aHAG96
16003821,K14QR9B,C2011,~3aHAG96
16003888,K14QR9C,C2006,~1B0LG96
16003889,K14QR9C,C2006,~1B0LG96
16003890,K14QR9C,C2006,~1B0LG96
16003891,K14QR9C,C2006,~1B0LG96
16004285,K14QR9O,C2011,~3I38G96
16004286,K14QR9O,C2011,~3I38G96
16004287,K14QR9O,C2011,~3I38G96
16004288,K14QR9O,C2011,~3I38G96
16004289,K14QR9O,C2011,~3I38G96
16004290,K14QR9O,C2011,~3I38G96
16004291,K14QR9O,C2011,~3I38G96
16004292,K14QR9O,C2011,~3I38G96
16004368,K14QR9P,C2009,~4YFGG96
16004369,K14QR9P,C2009,~4YFGG96
16004370,K14QR9P,C2009,~4YFGG96
16004371,K14QR9P,C2009,~4YFGG96
16004504,K14QR9U,C2010,~4UDKG96
16004505,K14QR9U,C2010,~4UDKG96
16004506,K14QR9U,C2010,~4UDKG96
16004507,K14QR9U,C2010,~4UDKG96
16004616,K14QR9Y,C2010,~3jSOG96
16004617,K14QR9Y,C2010,~3jSOG96
16004618,K14QR9Y,C2010,~3jSOG96
16004619,K14QR9Y,C2010,~3jSOG96
16004774,K14QS0G,C2007,~4uvvG96
16004775,K14QS0G,C2007,~4uvvG96
16004776,K14QS0G,C2007,~4uvvG96
16004777,K14QS0G,C2007,~4uvvG96
16004900,K14QS0M,C2010,~3FOe703
16004901,K14QS0M,C2010,~3FOe703
16004902,K14QS0M,C2010,~3FOe703
16004903,K14QS0M,C2010,~3FOe703
16005104,K14QS0T,C2007,~1B0LG96
16005105,K14QS0T,C2007,~1B0LG96
16005106,K14QS0T,C2007,~1B0LG96
16005107,K14QS0T,C2007,~1B0LG96
16005108,K14QS0T,C2007,~1B0LG96
16005109,K14QS0T,C2007,~1B0LG96
16005110,K14QS0T,C2007,~1B0LG96
16005111,K14QS0T,C2007,~1B0LG96
16005112,K14QS0T,C2007,~1FmKG96
16005113,K14QS0T,C2007,~1FmKG96
16005114,K14QS0T,C2007,~1FmKG96
16005115,K14QS0T,C2007,~1FmKG96
16005390,K14QS0Y,C2010,~3O8KG96
16005391,K14QS0Y,C2010,~3O8KG96
16005392,K14QS0Y,C2010,~3O8KG96
16005393,K14QS0Y,C2010,~3O8KG96
16005394,K14QS0Y,C2010,~3O8KG96
16005395,K14QS0Y,C2010,~3O8KG96
16005396,K14QS0Y,C2010,~3O8KG96
16005397,K14QS0Y,C2010,~3O8KG96
16005398,K14QS0Y,C2010,~3O8KG96
16005399,K14QS0Y,C2010,~3O8KG96
16005400,K14QS0Y,C2010,~3O8KG96
16005401,K14QS0Y,C2010,~3O8KG96
16005518,K14QS1B,C2006,~5fkiG96
16005519,K14QS1B,C2006,~5fkiG96
16005520,K14QS1B,C2006,~5fkiG96
16006059,K14QS1V,C2005,~1B0LG96
16006060,K14QS1V,C2005,~1B0LG96
16006061,K14QS1V,C2005,~1B0LG96
16006062,K14QS1V,C2005,~1B0LG96
16006063,K14QS1V,C2005,~1B0LG96
16006064,K14QS1V,C2005,~1B0LG96
16006065,K14QS1V,C2005,~1B0LG96
16006066,K14QS1V,C2005,~1B0LG96
16006363,K14QS2A,C2007,~3O8LG96
16006364,K14QS2A,C2007,~3O8LG96
16006365,K14QS2A,C2007,~3O8LG96
16006366,K14QS2A,C2007,~3O8LG96
16006622,K14QS2S,C2010,~3I39G96
16006623,K14QS2S,C2010,~3I39G96
16006624,K14QS2S,C2010,~3I39G96
16006625,K14QS2S,C2010,~3I39G96
16006626,K14QS2S,C2010,~3I39G96
16006627,K14QS2S,C2010,~3I39G96
16006628,K14QS2S,C2010,~3I39G96
16006629,K14QS2S,C2010,~3I39G96
16006630,K14QS2S,C2010,~3I39G96
16006631,K14QS2S,C2010,~3I39G96
16006632,K14QS2S,C2010,~3I39G96
16006633,K14QS2S,C2010,~3I39G96
16006634,K14QS2S,C2010,~3I39G96
16006635,K14QS2S,C2010,~3I39G96
16006636,K14QS2S,C2010,~3I39G96
16006890,K14QS2Z,C2006,~199cG96
16006891,K14QS2Z,C2006,~199cG96
16006892,K14QS2Z,C2006,~199cG96
16006893,K14QS2Z,C2006,~199cG96
16007137,K14QS3H,C2009,~3O8LG96
16007138,K14QS3H,C2009,~3O8LG96
16007139,K14QS3H,C2009,~3O8LG96
16007140,K14QS3H,C2009,~3O8LG96
16007367,K14QS3O,C2010,~5S2HG96
16007368,K14QS3O,C2010,~5S2HG96
16007369,K14QS3O,C2010,~5S2HG96
16007370,K14QS3O,C2010,~5S2HG96
16007437,K14QS3Q,C2010,~1B0LG96
16007438,K14QS3Q,C2010,~1B0LG96
16007439,K14QS3Q,C2010,~1B0LG96
16007440,K14QS3Q,C2010,~1B0LG96
16007441,K14QS3Q,C2010,~1B0LG96
16007442,K14QS3Q,C2010,~1B0LG96
16007443,K14QS3Q,C2010,~1B0LG96
16007444,K14QS3Q,C2010,~1B0LG96
16007445,K14QS3Q,C2010,~1FmLG96
16007446,K14QS3Q,C2010,~1FmLG96
16007447,K14QS3Q,C2010,~1FmLG96
16007448,K14QS3Q,C2010,~1FmLG96
16007449,K14QS3Q,C2010,~1FmLG96
16007450,K14QS3Q,C2010,~1FmLG96
16007451,K14QS3Q,C2010,~1FmLG96
16007452,K14QS3Q,C2010,~1FmLG96
16007453,K14QS3Q,C2010,~1FmLG96
16007454,K14QS3Q,C2010,~1FmLG96
16007455,K14QS3Q,C2010,~1FmLG96
16007486,K14QS3W,C2007,~1B0LG96
16007487,K14QS3W,C2007,~1B0LG96
16007488,K14QS3W,C2007,~1B0LG96
16007489,K14QS3W,C2007,~1B0LG96
16007490,K14QS3W,C2007,~1B0LG96
16007491,K14QS3W,C2007,~1B0LG96
16007492,K14QS3W,C2007,~1B0LG96
16007493,K14QS3W,C2007,~1B0LG96
16007603,K14QS4B,C2010,~1FmLG96
16007604,K14QS4B,C2010,~1FmLG96
16007605,K14QS4B,C2010,~1FmLG96
16007606,K14QS4B,C2010,~1FmLG96
16007607,K14QS4B,C2010,~1FmLG96
16007608,K14QS4B,C2010,~1FmLG96
16007609,K14QS4B,C2010,~1FmLG96
16007610,K14QS4B,C2010,~1FmLG96
16007753,K14QS4D,C2009,~1B0LG96
16007754,K14QS4D,C2009,~1B0LG96
16007755,K14QS4D,C2009,~1B0LG96
16007756,K14QS4D,C2009,~1B0LG96
16007757,K14QS4D,C2010,~1FmLG96
16007758,K14QS4D,C2010,~1FmLG96
16007759,K14QS4D,C2010,~1FmLG96
16007760,K14QS4D,C2010,~1FmLG96
16007861,K14QS4E,C2006,~5KmuG96
16007862,K14QS4E,C2006,~5KmuG96
16007863,K14QS4E,C2006,~5KmuG96
16007864,K14QS4E,C2006,~5KmuG96
16007882,K14QS4G,C2009,~4J9PG96
16007883,K14QS4G,C2009,~4J9PG96
16007884,K14QS4G,C2009,~4J9PG96
16007885,K14QS4G,C2009,~4J9PG96
16007886,K14QS4G,C2009,~4J9PG96
16007887,K14QS4G,C2009,~4J9PG96
16007888,K14QS4G,C2009,~4J9PG96
16007889,K14QS4G,C2009,~4J9PG96
16008159,K14QS4S,C2010,~3X5SG96
16008160,K14QS4S,C2010,~3X5SG96
16008161,K14QS4S,C2010,~3X5SG96
16008162,K14QS4S,C2010,~3X5SG96
16008163,K14QS4S,C2010,~3X5SG96
16008164,K14QS4S,C2010,~3X5SG96
16008165,K14QS4S,C2010,~3X5SG96
16008166,K14QS4S,C2010,~3X5SG96
16008167,K14QS4S,C2010,~3X5SG96
16008168,K14QS4S,C2010,~3X5SG96
16008169,K14QS4S,C2010,~3X5SG96
16008170,K14QS4S,C2010,~3X5SG96
16008215,K14QS4T,C2009,~6B8FG96
16008216,K14QS4T,C2009,~6B8FG96
16008217,K14QS4T,C2009,~6B8FG96
16008218,K14QS4T,C2009,~6B8FG96
16008413,K14QS4Y,C2009,~3X5SG96
16008414,K14QS4Y,C2009,~3X5SG96
16008415,K14QS4Y,C2009,~3X5SG96
16008416,K14QS4Y,C2009,~3X5SG96
16008480,K14QS4Z,C2006,~3O8LG96
16008481,K14QS4Z,C2006,~3O8LG96
16008482,K14QS4Z,C2006,~3O8LG96
16008483,K14QS4Z,C2006,~3O8MG96
16008484,K14QS4Z,C2008,~3O8MG96
16008485,K14QS4Z,C2008,~3O8MG96
16008486,K14QS4Z,C2008,~3O8MG96
16008487,K14QS4Z,C2008,~3O8MG96
16008618,K14QS5B,C2008,~1AaDG96
16008619,K14QS5B,C2008,~1AaDG96
16008620,K14QS5B,C2008,~1AaDG96
16008621,K14QS5B,C2008,~1AaDG96
16008622,K14QS5B,C2010,~1AaD703
16008623,K14QS5B,C2010,~1AaD703
16008624,K14QS5B,C2010,~1AaD703
16008625,K14QS5B,C2010,~1AaD703
16008626,K14QS5B,C2010,~1AaD703
16008627,K14QS5B,C2010,~1AaD703
16008628,K14QS5B,C2010,~1AaD703
16008629,K14QS5B,C2010,~1AaD703
16008637,K14QS5B,C2012,~1AaD703
16008638,K14QS5B,C2012,~1AaD703
16008639,K14QS5B,C2012,~1AaD703
16008640,K14QS5B,C2012,~1AaD703
16008641,K14QS5B,C2012,~1AaDG96
16008642,K14QS5B,C2012,~1AaDG96
16008643,K14QS5B,C2012,~1AaDG96
16008644,K14QS5B,C2012,~1AaDG96
16008823,K14QS5D,C2009,~3O8MG96
16008824,K14QS5D,C2009,~3O8MG96
16008825,K14QS5D,C2009,~3O8MG96
16008826,K14QS5D,C2009,~3O8MG96
16009063,K14QS5L,C2009,~1gmb703
16009064,K14QS5L,C2009,~1gmb703
16009065,K14QS5L,C2009,~1gmb703
16009066,K14QS5L,C2009,~1gmb703
16009067,K14QS5L,C2009,~1gmb703
16009220,K14QS5M,C2010,~3X5SG96
16009221,K14QS5M,C2010,~3X5SG96
16009222,K14QS5M,C2010,~3X5SG96
16010024,K14QS6R,C2010,~3QxDG96
16010025,K14QS6R,C2010,~3QxDG96
16010026,K14QS6R,C2010,~3QxDG96
16010027,K14QS6R,C2010,~3QxDG96
16010190,K14QS6V,C2010,~5S2HG96
16010191,K14QS6V,C2010,~5S2HG96
16010192,K14QS6V,C2010,~5S2HG96
16010193,K14QS6V,C2010,~5S2HG96
16010194,K14QS6V,C2010,~5S2HG96
16010195,K14QS6V,C2010,~5S2IG96
16010196,K14QS6V,C2010,~5S2IG96
16010197,K14QS6V,C2010,~5S2IG96
16010313,K14QS7A,C2009,~4qP1G96
16010314,K14QS7A,C2009,~4qP1G96
16010315,K14QS7A,C2009,~4qP1G96
16010316,K14QS7A,C2009,~4qP1G96
16010347,K14QS7B,C2009,~4UDKG96
16010348,K14QS7B,C2009,~4UDKG96
16010349,K14QS7B,C2009,~4UDKG96
16010350,K14QS7B,C2009,~4UDKG96
16010393,K14QS7D,C2007,~3FOeG96
16010394,K14QS7D,C2007,~3FOeG96
16010395,K14QS7D,C2007,~3FOeG96
16010396,K14QS7D,C2007,~3FOeG96
16010477,K14QS7E,C2010,~3Z4iG96
16010478,K14QS7E,C2010,~3Z4iG96
16010479,K14QS7E,C2010,~3Z4iG96
16010480,K14QS7E,C2010,~3Z4iG96
16010573,K14QS7F,C2010,~3X5SG96
16010574,K14QS7F,C2010,~3X5SG96
16010575,K14QS7F,C2010,~3X5SG96
16010576,K14QS7F,C2010,~3X5SG96
16010652,K14QS7K,C2010,~3zwQG96
16010653,K14QS7K,C2010,~3zwQG96
16010654,K14QS7K,C2010,~3zwQG96
16010818,K14QS7Q,C2009,~5XgtG96
16010819,K14QS7Q,C2009,~5XgtG96
16010820,K14QS7Q,C2009,~5XgtG96
16010821,K14QS7Q,C2009,~5XgtG96
16010822,K14QS7Q,C2009,~5XgtG96
16010823,K14QS7Q,C2009,~5XgtG96
16010824,K14QS7Q,C2009,~5XgtG96
16010825,K14QS7Q,C2009,~5XgtG96
16010993,K14QS7S,C2005,~3X5T703
16010994,K14QS7S,C2005,~3X5T703
16010995,K14QS7S,C2005,~3X5T703
16010996,K14QS7S,C2005,~3X5T703
16011341,K14QS7Z,C2009,~4NqKG96
16011342,K14QS7Z,C2009,~4NqKG96
16011343,K14QS7Z,C2009,~4NqKG96
16011344,K14QS7Z,C2009,~4NqKG96
16011428,K14QS8E,C2007,~4pV4G96
16011429,K14QS8E,C2007,~4pV4G96
16011430,K14QS8E,C2007,~4pV4G96
16011431,K14QS8E,C2007,~4pV4G96
16011432,K14QS8E,C2010,~4qP1703
16011433,K14QS8E,C2010,~4qP1703
16011434,K14QS8E,C2010,~4qP1703
16011435,K14QS8E,C2010,~4pV4G96
16011436,K14QS8E,C2010,~4pV4G96
16011437,K14QS8E,C2010,~4pV4G96
16011438,K14QS8E,C2010,~4pV4G96
16011484,K14QS8L,C2008,~4A3TG96
16011485,K14QS8L,C2008,~4A3TG96
16011486,K14QS8L,C2008,~4A3TG96
16011487,K14QS8L,C2008,~4A3TG96
16011622,K14QS8N,C2009,~4pV5G96
16011623,K14QS8N,C2009,~4pV5G96
16011624,K14QS8N,C2009,~4pV5G96
16011625,K14QS8N,C2009,~4pV5G96
16012463,K14QT0G,C2009,~4NqKG96
16012464,K14QT0G,C2009,~4NqKG96
16012465,K14QT0G,C2009,~4NqKG96
16012466,K14QT0G,C2009,~4NqKG96
16012526,K14QT0L,C2008,~3X5TG96
16012527,K14QT0L,C2008,~3X5TG96
16012528,K14QT0L,C2008,~3X5TG96
16012529,K14QT0L,C2008,~3X5TG96
16012560,K14QT0O,C2011,~1B0MG96
16012561,K14QT0O,C2011,~1B0MG96
16012562,K14QT0O,C2011,~1B0MG96
16012563,K14QT0O,C2011,~1B0MG96
16013057,K14QT1F,C2010,~79BMG96
16013058,K14QT1F,C2010,~79BMG96
16013059,K14QT1F,C2010,~79BMG96
16013060,K14QT1F,C2010,~79BMG96
16013113,K14QT1G,C2010,~4uvvG96
16013114,K14QT1G,C2010,~4uvvG96
16013115,K14QT1G,C2010,~4uvvG96
16013116,K14QT1G,C2010,~4uvvG96
16013175,K14QT1H,C2009,~3I3CG96
16013176,K14QT1H,C2009,~3I3CG96
16013177,K14QT1H,C2009,~3I3CG96
16013178,K14QT1H,C2009,~3I3CG96
16013182,K14QT1H,C2009,~3I3CG96
16013183,K14QT1H,C2009,~3I3CG96
16013184,K14QT1H,C2009,~3I3CG96
16013185,K14QT1H,C2009,~3I3CG96
16013424,K14QT1M,C2010,~3I3CG96
16013425,K14QT1M,C2010,~3I3CG96
16013426,K14QT1M,C2010,~3I3CG96
16013427,K14QT1M,C2010,~3I3CG96
16013428,K14QT1M,C2010,~3I3CG96
16013429,K14QT1M,C2010,~3I3CG96
16013430,K14QT1M,C2010,~3I3CG96
16013431,K14QT1M,C2010,~3I3CG96
16013432,K14QT1M,C2010,~3I3CG96
16013433,K14QT1M,C2010,~3I3CG96
16013434,K14QT1M,C2010,~3I3DG96
16013435,K14QT1M,C2010,~3I3DG96
16013436,K14QT1M,C2010,~3I3DG96
16013437,K14QT1M,C2010,~3I3DG96
16013438,K14QT1M,C2010,~3I3DG96
16013439,K14QT1M,C2010,~3I3DG96
16013440,K14QT1M,C2010,~3I3DG96
16013441,K14QT1M,C2010,~3I3DG96
16013442,K14QT1M,C2010,~3I3DG96
16013443,K14QT1M,C2010,~3I3DG96
16013740,K14QT1T,C2010,~4qP1G96
16013741,K14QT1T,C2010,~4qP1G96
16013742,K14QT1T,C2010,~4qP1G96
16013743,K14QT1T,C2010,~4qP1G96
16013889,K14QT1V,C2006,~3jSPG96
16013890,K14QT1V,C2006,~3jSPG96
16013891,K14QT1V,C2006,~3jSPG96
16013892,K14QT1V,C2006,~3jSPG96
16013893,K14QT1V,C2006,~3jSPG96
16013894,K14QT1V,C2006,~3jSPG96
16013895,K14QT1V,C2006,~3jSPG96
16013896,K14QT1V,C2006,~3jSPG96
16013897,K14QT1V,C2010,~3jSP703
16013898,K14QT1V,C2010,~3jSP703
16013899,K14QT1V,C2010,~3jSP703
16013985,K14QT1Z,C2007,~3zwQG96
16013986,K14QT1Z,C2007,~3zwQG96
16013987,K14QT1Z,C2007,~3zwQG96
16013988,K14QT1Z,C2007,~3zwQG96
16013989,K14QT1Z,C2007,~3zwQG96
16013990,K14QT1Z,C2007,~3zwQG96
16013991,K14QT1Z,C2007,~3zwQG96
16013992,K14QT1Z,C2007,~3zwQG96
16014152,K14QT2C,C2009,~55RKG96
16014153,K14QT2C,C2009,~55RKG96
16014154,K14QT2C,C2009,~55RKG96
16014155,K14QT2C,C2009,~55RKG96
16014156,K14QT2C,C2009,~59l8G96
16014157,K14QT2C,C2009,~59l8G96
16014158,K14QT2C,C2009,~59l8G96
16014159,K14QT2C,C2009,~59l8G96
16014625,K14QT3C,C2009,~3I3DG96
16014626,K14QT3C,C2009,~3I3DG96
16014627,K14QT3C,C2009,~3I3DG96
16014628,K14QT3C,C2009,~3I3DG96
16014763,K14QT3E,C2005,~5oHBG96
16014764,K14QT3E,C2005,~5oHBG96
16014765,K14QT3E,C2005,~5oHBG96
16014766,K14QT3E,C2005,~5oHBG96
16015109,K14QT3W,C2010,~1B0MG96
16015110,K14QT3W,C2010,~1B0MG96
16015111,K14QT3W,C2010,~1B0MG96
16015112,K14QT3W,C2010,~1B0MG96
16015113,K14QT3W,C2010,~1B0MG96
16015114,K14QT3W,C2010,~1B0MG96
16015115,K14QT3W,C2010,~1B0MG96
16015116,K14QT3W,C2010,~1B0MG96
16015348,K14QT4B,C2006,~1A0hG96
16015349,K14QT4B,C2006,~1A0hG96
16015350,K14QT4B,C2006,~1A0hG96
16015351,K14QT4B,C2006,~1A0hG96
16015352,K14QT4B,C2006,~1A0hG96
16015354,K14QT4B,C2006,~1A0hG96
16015355,K14QT4B,C2006,~1A0hG96
16015356,K14QT4B,C2006,~1A0hG96
16015362,K14QT4B,C2010,~1A0h703
16015363,K14QT4B,C2010,~1A0h703
16015364,K14QT4B,C2010,~1A0h703
16015365,K14QT4B,C2010,~1A0h703
16015370,K14QT4B,C2010,~1A0h703
16015371,K14QT4B,C2010,~1A0h703
16015372,K14QT4B,C2010,~1A0h703
16015373,K14QT4B,C2010,~1A0h703
16015374,K14QT4B,C2011,~1A0hG96
16015375,K14QT4B,C2011,~1A0hG96
16015376,K14QT4B,C2011,~1A0hG96
16015377,K14QT4B,C2011,~1A0hG96
16015687,K14QT4D,C2010,~3X5TG96
16015688,K14QT4D,C2010,~3X5TG96
16015689,K14QT4D,C2010,~3X5TG96
16015690,K14QT4D,C2010,~3X5TG96
16015798,K14QT4G,C2010,~3zwRG96
16015799,K14QT4G,C2010,~3zwRG96
16015800,K14QT4G,C2010,~3zwRG96
16015801,K14QT4G,C2010,~3zwRG96
16015802,K14QT4G,C2010,~3zwRG96
16015803,K14QT4G,C2010,~3zwRG96
16015804,K14QT4G,C2010,~3zwRG96
16015805,K14QT4G,C2010,~3zwRG96
16015806,K14QT4G,C2010,~3zwRG96
16015807,K14QT4G,C2010,~3zwRG96
16015808,K14QT4G,C2010,~3zwRG96
16015809,K14QT4G,C2010,~3zwRG96
16015810,K14QT4G,C2011,~3zwRG96
16015811,K14QT4G,C2011,~3zwRG96
16015812,K14QT4G,C2011,~3zwRG96
16015813,K14QT4G,C2011,~3zwRG96
16015975,K14QT4O,C2010,~436OG96
16015976,K14QT4O,C2010,~436OG96
16015977,K14QT4O,C2010,~436OG96
16015978,K14QT4O,C2010,~436OG96
16016400,K14QT5B,C2005,~3I3E703
16016401,K14QT5B,C2005,~3I3E703
16016402,K14QT5B,C2005,~3I3E703
16016403,K14QT5B,C2005,~3I3E703
16016404,K14QT5B,C2009,~3I3EG96
16016405,K14QT5B,C2009,~3I3EG96
16016406,K14QT5B,C2009,~3I3EG96
16016595,K14QT5F,C2006,~3aHAG96
16016596,K14QT5F,C2006,~3aHAG96
16016597,K14QT5F,C2006,~3aHAG96
16016598,K14QT5F,C2006,~3aHAG96
16017804,K14QT6B,C2010,~1bHwG96
16017805,K14QT6B,C2010,~1bHwG96
16017806,K14QT6B,C2010,~1bHwG96
16018071,K14QT6F,C2010,~1FmLG96
16018072,K14QT6F,C2010,~1FmLG96
16018073,K14QT6F,C2010,~1FmLG96
16018074,K14QT6F,C2010,~1FmLG96
16018819,K14QT7B,C2007,~1B0NG96
16018820,K14QT7B,C2007,~1B0NG96
16018821,K14QT7B,C2007,~1B0NG96
16018822,K14QT7B,C2007,~1B0NG96
16018823,K14QT7B,C2009,~3jSQ703
16018824,K14QT7B,C2009,~3jSQ703
16018825,K14QT7B,C2009,~3jSQ703
16018826,K14QT7B,C2009,~3jSQ703
16018827,K14QT7B,C2012,~1FmMG96
16018828,K14QT7B,C2012,~1FmMG96
16018829,K14QT7B,C2012,~1FmMG96
16018830,K14QT7B,C2012,~1FmMG96
16019156,K14QT7W,C2005,~3I3FG96
16019157,K14QT7W,C2005,~3I3FG96
16019158,K14QT7W,C2005,~3I3FG96
