Bolide Detection Notification: 2015-303

(S) At 07:07:12 UT on 30 Oct 2015, sensors aboard U. S. Government satellites
recorded the flash signature of a large meteoroid entry into the atmosphere. Location
of  the flash was Lat 85.0S, Lon 161.7W.

(S) Based upon the visible-light intensity-time signature, peak brightness of the
flash  was determined to be approximately 2.0e10 watts/steradian, and total radiated
flash  energy 18.0e10 joules (6000K blackbody model).

(S) Intensity-time signature of the event and integrated intensity are depicted on
the  plots below. On the intensity-time plot, one count on vertical axis corresponds
to  2.35E8 watts/steradian. On the integrated intensity plot, one count represents
2.96E9  joules radiated energy.

Peak Intensity = 2.01e+10 watts/steradian
Total Energy   = 1.81e+11 joules

Intensity=[
(-2.400, 2.83e+08),
(-2.396,-1.26e+08),
(-2.393, 1.65e+09),
(-2.389,-1.97e+09),
(-2.386, 2.46e+09),
(-2.383,-1.68e+09),
(-2.379,-3.35e+08),
(-2.376, 8.19e+08),
(-2.373, 1.52e+09),
(-2.369, 6.98e+08),
(-2.366, 1.80e+07),
(-2.363, 2.01e+08),
(-2.359,-9.68e+08),
(-2.356, 9.45e+08),
(-2.352, 7.02e+08),
(-2.349,-1.93e+08),
(-2.346,-6.79e+08),
(-2.342,-7.54e+08),
(-2.339,-1.84e+09),
(-2.335,-1.71e+09),
(-2.332, 1.70e+09),
(-2.329,-3.08e+09),
(-2.325,-2.28e+09),
(-2.322, 2.26e+09),
(-2.319,-5.57e+08),
(-2.315, 8.50e+08),
(-2.312, 6.60e+08),
(-2.309, 7.59e+08),
(-2.305,-2.96e+08),
(-2.302, 2.84e+09),
(-2.298, 8.86e+08),
(-2.295,-3.86e+07),
(-2.292, 4.39e+08),
(-2.288, 9.56e+08),
(-2.285, 1.01e+09),
(-2.281,-2.90e+08),
(-2.278, 1.05e+09),
(-2.275, 1.79e+09),
(-2.271, 3.52e+08),
(-2.268, 1.66e+08),
(-2.265, 3.21e+07),
(-2.261,-1.43e+09),
(-2.258,-3.12e+09),
(-2.255, 5.86e+08),
(-2.251, 4.58e+08),
(-2.248, 3.52e+08),
(-2.244, 5.53e+08),
(-2.241,-2.40e+08),
(-2.238, 2.71e+09),
(-2.234,-5.52e+08),
(-2.231,-1.29e+09),
(-2.227, 1.79e+09),
(-2.224,-2.88e+08),
(-2.221, 8.40e+08),
(-2.217,-4.62e+08),
(-2.214, 6.86e+07),
(-2.211,-1.92e+08),
(-2.207,-6.77e+08),
(-2.204,-9.27e+08),
(-2.201, 4.69e+07),
(-2.197,-1.36e+09),
(-2.194, 2.86e+08),
(-2.190, 4.36e+08),
(-2.187, 6.68e+08),
(-2.184,-1.82e+09),
(-2.180,-4.47e+08),
(-2.177, 2.04e+08),
(-2.173,-7.80e+08),
(-2.170, 3.97e+08),
(-2.167, 2.63e+09),
(-2.163, 1.05e+09),
(-2.160, 5.08e+08),
(-2.157, 2.96e+09),
(-2.153, 1.73e+09),
(-2.150, 1.17e+09),
(-2.147,-9.48e+08),
(-2.143, 1.73e+07),
(-2.140, 2.16e+08),
(-2.136,-1.57e+09),
(-2.133, 1.29e+09),
(-2.130, 1.49e+09),
(-2.126, 1.18e+09),
(-2.123,-1.32e+09),
(-2.119,-8.88e+07),
(-2.116, 3.14e+08),
(-2.113,-2.19e+09),
(-2.109,-6.12e+08),
(-2.106,-1.15e+09),
(-2.103,-4.71e+08),
(-2.099,-1.65e+08),
(-2.096,-7.59e+08),
(-2.093, 7.46e+06),
(-2.089, 2.33e+08),
(-2.086,-1.59e+09),
(-2.082,-1.99e+09),
(-2.079,-3.83e+09),
(-2.076,-2.44e+09),
(-2.072,-9.42e+08),
(-2.069,-1.61e+09),
(-2.065,-1.29e+09),
(-2.062, 1.95e+09),
(-2.059, 1.81e+09),
(-2.055,-6.29e+07),
(-2.052, 1.12e+08),
(-2.049, 8.02e+08),
(-2.045,-2.67e+09),
(-2.042, 1.13e+09),
(-2.039,-1.26e+09),
(-2.035,-6.50e+08),
(-2.032,-2.34e+09),
(-2.028,-8.50e+08),
(-2.025,-2.40e+08),
(-2.022,-4.17e+08),
(-2.018,-1.78e+09),
(-2.015,-1.02e+09),
(-2.011,-1.06e+09),
(-2.008,-2.94e+09),
(-2.005,-7.86e+08),
(-2.001, 1.53e+08),
(-1.998,-7.80e+08),
(-1.995, 1.34e+08),
(-1.991,-1.65e+09),
(-1.988,-9.30e+08),
(-1.985,-1.02e+09),
(-1.981, 9.10e+06),
(-1.978, 5.52e+08),
(-1.974,-6.60e+08),
(-1.971,-1.67e+09),
(-1.968,-2.29e+09),
(-1.964, 1.91e+09),
(-1.961,-1.61e+08),
(-1.957,-3.62e+09),
(-1.954,-3.07e+08),
(-1.951,-6.87e+08),
(-1.947, 1.89e+08),
(-1.944,-1.34e+09),
(-1.941,-2.19e+09),
(-1.937, 1.89e+09),
(-1.934,-1.36e+09),
(-1.931, 4.69e+07),
(-1.927, 2.81e+09),
(-1.924,-2.30e+08),
(-1.920,-2.15e+09),
(-1.917,-2.19e+09),
(-1.914, 1.76e+09),
(-1.910,-2.93e+08),
(-1.907,-2.49e+09),
(-1.903,-1.13e+09),
(-1.900,-4.26e+08),
(-1.897,-5.03e+08),
(-1.893, 1.84e+09),
(-1.890,-2.74e+09),
(-1.887,-7.65e+08),
(-1.883, 2.69e+09),
(-1.880, 7.37e+08),
(-1.877,-1.36e+09),
(-1.873, 2.49e+09),
(-1.870,-2.09e+09),
(-1.866,-2.47e+09),
(-1.863,-5.87e+08),
(-1.860,-1.17e+09),
(-1.856, 1.31e+09),
(-1.853, 2.05e+08),
(-1.849,-4.55e+08),
(-1.846,-1.27e+09),
(-1.843, 1.40e+09),
(-1.839, 1.65e+09),
(-1.836,-1.34e+08),
(-1.833,-9.17e+08),
(-1.829,-5.10e+08),
(-1.826, 1.52e+09),
(-1.823,-1.80e+08),
(-1.819, 8.36e+08),
(-1.816, 1.26e+09),
(-1.812,-9.48e+07),
(-1.809,-6.71e+08),
(-1.806,-9.30e+08),
(-1.802, 1.07e+09),
(-1.799, 1.62e+09),
(-1.795, 6.68e+08),
(-1.792,-2.53e+08),
(-1.789, 2.49e+08),
(-1.785,-5.00e+08),
(-1.782,-7.40e+08),
(-1.779,-6.09e+08),
(-1.775, 8.17e+08),
(-1.772,-1.86e+09),
(-1.769, 5.04e+08),
(-1.765,-1.47e+09),
(-1.762,-1.09e+09),
(-1.758, 2.20e+08),
(-1.755,-1.04e+09),
(-1.752, 2.47e+08),
(-1.748,-1.47e+09),
(-1.745,-1.32e+09),
(-1.741,-5.91e+08),
(-1.738, 3.62e+08),
(-1.735, 1.47e+08),
(-1.731,-1.54e+09),
(-1.728, 4.72e+08),
(-1.725, 1.14e+09),
(-1.721, 4.92e+08),
(-1.718,-4.64e+07),
(-1.715,-8.10e+08),
(-1.711,-5.71e+08),
(-1.708,-8.73e+08),
(-1.704,-1.16e+09),
(-1.701, 9.75e+08),
(-1.698,-5.96e+07),
(-1.694,-2.08e+09),
(-1.691,-1.39e+09),
(-1.687,-2.35e+08),
(-1.684, 2.37e+08),
(-1.681,-8.02e+08),
(-1.677, 1.50e+09),
(-1.674,-7.20e+08),
(-1.671,-9.24e+08),
(-1.667,-1.36e+09),
(-1.664,-1.63e+09),
(-1.661, 1.32e+09),
(-1.657,-1.29e+07),
(-1.654,-6.57e+08),
(-1.650, 4.01e+08),
(-1.647,-1.97e+09),
(-1.644,-2.85e+09),
(-1.640,-1.55e+09),
(-1.637,-4.04e+08),
(-1.633,-1.42e+09),
(-1.630,-2.28e+09),
(-1.627,-3.15e+08),
(-1.623,-1.50e+09),
(-1.620, 6.79e+08),
(-1.617,-1.16e+08),
(-1.613, 4.19e+08),
(-1.610, 3.74e+09),
(-1.607, 3.68e+08),
(-1.603,-9.96e+08),
(-1.600,-2.86e+09),
(-1.596, 4.35e+08),
(-1.593,-7.27e+08),
(-1.590, 8.63e+08),
(-1.586, 2.85e+09),
(-1.583,-7.66e+06),
(-1.579,-2.47e+09),
(-1.576, 1.44e+09),
(-1.573, 1.51e+09),
(-1.569, 9.18e+08),
(-1.566, 8.96e+08),
(-1.563, 1.21e+09),
(-1.559, 3.84e+08),
(-1.556,-4.35e+08),
(-1.553, 5.08e+08),
